id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Urban Groove,Street Vibes,hip-hop,upbeat,0.85,100,0.75,0.90,0.15
12,Country Sunset,Rusty Boots,country,relaxed,0.55,85,0.70,0.65,0.80
13,Electronic Pulse,Tech Wave,electronic,intense,0.95,140,0.60,0.85,0.05
14,Sad Ballad,Heartstrings,pop,sad,0.30,70,0.25,0.45,0.95
15,Reggae Vibes,Island Rhythms,reggae,chill,0.65,90,0.80,0.75,0.40
16,Folk Wanderer,Woodland Tales,folk,moody,0.45,75,0.50,0.55,0.85
17,Punk Anthem,Rebel Yell,punk,angry,0.98,160,0.30,0.70,0.02
18,Classical Serenity,Orchestra Dreams,classical,calm,0.20,50,0.65,0.30,0.98
19,R&B Soul,Velvet Voices,r&b,smooth,0.60,95,0.75,0.80,0.25
20,Metal Thunder,Heavy Hammers,metal,aggressive,0.99,180,0.20,0.65,0.01
